"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"promises","promises","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.0.1",NA,NA,"R6, Rcpp, later, rlang, stats, magrittr","later, Rcpp","testthat, future, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.5.3"
"proto","proto","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.0.0",NA,NA,NA,NA,"testthat, covr",NA,"GPL-2",NA,NA,NA,NA,"no","3.5.3"
"protolite","protolite","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.9",NA,NA,"Rcpp (>= 0.12.12), jsonlite","Rcpp","testthat, RProtoBuf",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.5.3"
"proxy","proxy","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.4-23",NA,"R (>= 3.4.0)","stats, utils",NA,"cba",NA,"GPL-2",NA,NA,NA,NA,"yes","3.5.3"
"ps","ps","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.3.0",NA,"R (>= 3.1)","utils",NA,"callr, covr, curl, pingr, processx (>= 3.1.0), R6, rlang,
testthat, tibble",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","3.5.3"
"pspline","pspline","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.0-18",NA,"R (>= 2.0.0), stats, graphics",NA,NA,NA,NA,"Unlimited",NA,NA,NA,NA,"yes","3.5.2"
"psych","psych","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.8.12",NA,"R (>= 2.10)","mnormt,parallel,stats,graphics,grDevices,methods,foreign,lattice,nlme",NA,"GPArotation, lavaan, sem, lme4,Rcsdp, graph, Rgraphviz",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.3"
"purrr","purrr","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.3.2",NA,"R (>= 3.1)","magrittr (>= 1.5), rlang (>= 0.3.1)",NA,"covr, crayon, dplyr (>= 0.7.8), knitr, rmarkdown, testthat,
tibble, tidyselect",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","3.5.3"
"qpdf","qpdf","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.1",NA,NA,"Rcpp, askpass, curl","Rcpp","testthat",NA,"Apache License 2.0",NA,NA,NA,NA,"yes","3.5.3"
"quadprog","quadprog","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.5-7",NA,"R (>= 3.1.0)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.3"
"qualV","qualV","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.3-3",NA,"R (>= 2.0.0), KernSmooth","graphics, grDevices, stats, utils",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.3"
"quantmod","quantmod","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.4-15",NA,"R (>= 3.2.0), xts(>= 0.9-0), zoo, TTR(>= 0.2), methods","curl",NA,"DBI,RMySQL,RSQLite,timeSeries,XML,downloader,jsonlite(>= 1.1)",NA,"GPL-3",NA,NA,NA,NA,"no","3.5.3"
"quantreg","quantreg","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","5.42",NA,"R (>= 2.6), stats, SparseM","methods, graphics, Matrix, MatrixModels",NA,"tripack, akima, MASS, survival, rgl, logspline, nor1mix,
Formula, zoo, R.rsp",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.3"
"questionr","questionr","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.7.0",NA,"R (>= 2.10)","shiny (>= 1.0.5), miniUI, rstudioapi, highr, classInt,
htmltools, graphics, stats, utils, labelled (>= 2.0.0)",NA,"memisc, testthat, roxygen2, dplyr, tidyr, janitor, forcats,
knitr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.3"
"qvcalc","qvcalc","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.0.0",NA,NA,NA,NA,"relimp, MASS, pkgdown","psychotools","GPL-2 | GPL-3",NA,NA,NA,NA,"no","3.5.3"
"R.methodsS3","R.methodsS3","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.7.1",NA,"R (>= 2.13.0)","utils",NA,NA,NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","3.5.2"
"R.oo","R.oo","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.22.0",NA,"R (>= 2.13.0), R.methodsS3 (>= 1.7.1)","methods, utils",NA,"tools",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","3.5.2"
"R.utils","R.utils","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","2.9.0",NA,"R (>= 2.14.0), R.oo (>= 1.22.0)","methods, utils, tools, R.methodsS3 (>= 1.7.1)",NA,"digest (>= 0.6.10)",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","3.5.3"
"R6","R6","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","2.4.0",NA,"R (>= 3.0)",NA,NA,"knitr, microbenchmark, pryr, testthat, ggplot2, scales",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"randomForest","randomForest","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","4.6-14",NA,"R (>= 3.2.2), stats",NA,NA,"RColorBrewer, MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.3"
"RANN","RANN","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","2.6.1",NA,NA,NA,NA,"testthat",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","3.5.3"
"rappdirs","rappdirs","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.3.1",NA,"R (>= 2.14), methods",NA,NA,"testthat, roxygen2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.5.3"
"raster","raster","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","2.9-23",NA,"sp (>= 1.2-0), R (>= 3.0.0)","Rcpp, methods","Rcpp","rgdal (>= 0.9-1), rgeos (>= 0.3-8), ncdf4, igraph, tcltk,
parallel, rasterVis, MASS, sf, testthat",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","3.5.3"
"rasterVis","rasterVis","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.46",NA,"R (>= 2.14.0), methods, raster (>= 2.0-12), lattice,
latticeExtra","stats, utils, parallel, grid, grDevices, RColorBrewer, hexbin,
sp (>= 1.0-6), zoo, viridisLite",NA,"rgl, ggplot2, colorspace, dichromat",NA,"GPL-3",NA,NA,NA,NA,"no","3.5.3"
"rbenchmark","rbenchmark","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.0.0",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"3.5.2"
"rcmdcheck","rcmdcheck","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.3.3",NA,NA,"callr (>= 3.1.1.9000), cli (>= 1.1.0), crayon, desc (>=
1.2.0), digest, pkgbuild, prettyunits, R6, rprojroot,
sessioninfo (>= 1.1.1), utils, withr, xopen",NA,"covr, knitr, mockery, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"RColorBrewer","RColorBrewer","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.1-2",NA,"R (>= 2.0.0)",NA,NA,NA,NA,"Apache License 2.0",NA,NA,NA,NA,"no","3.5.2"
"Rcpp","Rcpp","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.0.2",NA,"R (>= 3.0.0)","methods, utils",NA,"RUnit, inline, rbenchmark, knitr, rmarkdown, pinp, pkgKitten
(>= 0.1.2)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.3"
"RcppArmadillo","RcppArmadillo","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.9.600.4.0",NA,"R (>= 3.3.0)","Rcpp (>= 0.11.0), stats, utils, methods","Rcpp","RUnit, Matrix, pkgKitten, reticulate, rmarkdown, knitr, pinp,
slam",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.3"
"RcppCCTZ","RcppCCTZ","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.2.5",NA,NA,"Rcpp (>= 0.11.0)","Rcpp","RUnit",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.3"
"RcppEigen","RcppEigen","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.3.3.5.0",NA,"R (>= 2.15.1)","Matrix (>= 1.1-0), Rcpp (>= 0.11.0), stats, utils","Rcpp","inline, RUnit, pkgKitten, microbenchmark",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","3.5.3"
"RcppProgress","RcppProgress","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.4.1",NA,NA,NA,NA,"RcppArmadillo, devtools, roxygen2, testthat",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","3.5.3"
"RcppRoll","RcppRoll","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.3.0",NA,"R (>= 2.15.1)","Rcpp","Rcpp","zoo, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.3"
"RCurl","RCurl","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.95-4.12",NA,"R (>= 3.0.0), methods, bitops",NA,NA,"Rcompression, XML",NA,"BSD",NA,NA,NA,NA,"yes","3.5.3"
"reactlog","reactlog","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.0.0",NA,"R (>= 3.0.2)","jsonlite (>= 0.9.16)",NA,"shiny, knitr, rmarkdown, htmltools",NA,"GPL-3",NA,NA,NA,NA,"no","3.5.3"
"readr","readr","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.3.1",NA,"R (>= 3.1)","Rcpp (>= 0.12.0.5), tibble, hms (>= 0.4.1), R6, clipr, crayon,
methods","Rcpp, BH","curl, testthat, knitr, rmarkdown, stringi, covr, spelling",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","3.5.3"
"readxl","readxl","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.3.1",NA,NA,"cellranger, Rcpp (>= 0.12.18), tibble (>= 1.3.1), utils","progress, Rcpp","covr, knitr, rmarkdown, rprojroot (>= 1.1), testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","3.5.3"
"recipes","recipes","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.1.6",NA,"R (>= 3.1), dplyr","generics, glue, gower, ipred, lubridate, magrittr, Matrix,
purrr (>= 0.2.3), rlang (>= 0.4.0), stats, tibble, tidyr,
tidyselect (>= 0.2.5), timeDate, utils, withr",NA,"covr, ddalpha, dimRed (>= 0.2.2), fastICA, ggplot2, igraph,
kernlab, knitr, pls, RANN, RcppRoll, rmarkdown, rpart, rsample,
RSpectra, testthat",NA,"GPL-2",NA,NA,NA,NA,"no","3.5.3"
"RefManageR","RefManageR","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.2.12",NA,"R (>= 3.0)","xml2, jsonlite, utils, plyr, tools, httr, bibtex (>= 0.4.1),
lubridate (>= 1.5.0), stringr, methods",NA,"knitr, testthat,",NA,"GPL-2 | GPL-3 | BSD_3_clause + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"rematch","rematch","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.0.1",NA,NA,NA,NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"rematch2","rematch2","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","2.1.0",NA,NA,"tibble",NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"remotes","remotes","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","2.1.0",NA,"R (>= 3.0.0)","methods, stats, tools, utils",NA,"brew, callr, codetools, curl, covr, git2r (>= 0.23.0), knitr,
mockery, pkgbuild (>= 1.0.1), pingr, rmarkdown, rprojroot,
testthat, withr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.3"
"reprex","reprex","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.3.0",NA,"R (>= 3.1)","callr (>= 2.0.0), clipr (>= 0.4.0), fs, rlang, rmarkdown,
utils, whisker, withr",NA,"covr, devtools, fortunes, knitr, miniUI, rprojroot,
rstudioapi, shiny, styler (>= 1.0.2), testthat (>= 2.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"reshape2","reshape2","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.4.3",NA,"R (>= 3.1)","plyr (>= 1.8.1), Rcpp, stringr","Rcpp","covr, lattice, testthat (>= 0.8.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.5.3"
"reticulate","reticulate","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.12",NA,"R (>= 3.0)","utils, graphics, jsonlite, Rcpp (>= 0.12.7), Matrix","Rcpp","testthat, knitr, callr, rmarkdown",NA,"Apache License 2.0",NA,NA,NA,NA,"yes","3.5.3"
"rex","rex","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.1.2",NA,NA,"magrittr, lazyeval",NA,"testthat, knitr, rmarkdown, dplyr, ggplot2, Hmisc, stringr,
rvest, roxygen2, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"rgdal","rgdal","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.4-4",NA,"R (>= 3.3.0), methods, sp (>= 1.1-0)","grDevices, graphics, stats, utils","sp",NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.3"
"rgenoud","rgenoud","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","5.8-3.0",NA,"R (>= 2.15), utils",NA,NA,"testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","3.5.3"
"rgeos","rgeos","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.4-3",NA,"R (>= 3.3.0), methods, sp (>= 1.1-0)","utils, stats, graphics","sp","maptools (>= 0.8-5), testthat, XML, maps, rgdal",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.3"
"rgl","rgl","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.100.26",NA,"R (>= 3.2.0)","graphics, grDevices, stats, utils, htmlwidgets, htmltools,
knitr, jsonlite (>= 0.9.20), shiny, magrittr, crosstalk,
manipulateWidget (>= 0.9.0)",NA,"MASS, rmarkdown, deldir, orientlib, lattice, misc3d,
rstudioapi, magick, plotrix (>= 3.7-3), tripack, interp,
alphashape3d",NA,"GPL",NA,NA,NA,NA,"yes","3.5.3"
"RgoogleMaps","RgoogleMaps","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.4.3",NA,"R (>= 2.10)","graphics, stats, utils, grDevices, methods, png",NA,"PBSmapping, maptools, sp, loa, RColorBrewer, leaflet",NA,"GPL",NA,NA,NA,NA,"no","3.5.3"
"RH2","RH2","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.2.4",NA,"chron, methods, RJDBC, rJava",NA,NA,NA,NA,"Mozilla Public License 1.1",NA,NA,NA,NA,"no","3.5.3"
"rhub","rhub","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.1.1",NA,NA,"assertthat, callr, cli (>= 1.1.0), crayon, desc, digest, httr,
jsonlite, parsedate, pillar, prettyunits, processx, R6,
rappdirs, rcmdcheck (>= 1.2.1), rematch, tibble, utils, uuid,
whoami, withr",NA,"covr, testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"RInno","RInno","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.0.1",NA,"R (>= 3.3.0)","curl, glue (>= 1.2.0), httr, installr, jsonlite, magrittr,
methods, pkgbuild, remotes, rmarkdown, shiny, stringr , utils",NA,"knitr, stringi, covr, testthat",NA,"GPL-3 | file LICENSE",NA,NA,"windows",NA,"no","3.5.3"
"rJava","rJava","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.9-11",NA,"R (>= 2.5.0), methods",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.5.3"
"RJDBC","RJDBC","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.2-7.1",NA,"methods, DBI, rJava (>= 0.4-15), R (>= 2.4.0)",NA,NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"rjson","rjson","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.2.20",NA,"R (>= 3.1.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.5.2"
"RJSONIO","RJSONIO","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.3-1.2",NA,NA,"methods",NA,NA,NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","3.5.3"
"rlang","rlang","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.4.0",NA,"R (>= 3.2.0)",NA,NA,"covr, crayon, magrittr, methods, pillar, rmarkdown, testthat
(>= 2.0.0)",NA,"GPL-3",NA,NA,NA,NA,"yes","3.5.3"
"rmapshaper","rmapshaper","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.4.1",NA,NA,"geojsonio (>= 0.6.0), geojsonlint (>= 0.2.0), jsonlite (>=
1.5), methods, readr (>= 1.1.1), sf (>= 0.6), sp (>= 1.2-7), V8
(>= 1.5)",NA,"knitr, magrittr, rgeos, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"rmarkdown","rmarkdown","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.15",NA,"R (>= 3.0)","tools, utils, knitr (>= 1.22), yaml (>= 2.1.19), htmltools (>=
0.3.5), evaluate (>= 0.13), base64enc, jsonlite, mime, tinytex
(>= 0.11), xfun, methods, stringr (>= 1.2.0)",NA,"shiny (>= 0.11), tufte, testthat, digest, dygraphs, tibble,
fs, pkgdown, callr (>= 2.0.0)",NA,"GPL-3",NA,NA,NA,NA,"no","3.5.3"
"rms","rms","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","5.1-3.1",NA,"Hmisc (>= 4.1-1), survival (>= 2.40-1), lattice, ggplot2 (>=
2.2), SparseM","methods, quantreg, rpart, nlme (>= 3.1-123), polspline,
multcomp, htmlTable (>= 1.11.0), htmltools",NA,"boot, tcltk, plotly (>= 4.5.6)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.3"
"RMySQL","RMySQL","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.10.17",NA,"R (>= 2.8.0), DBI (>= 0.4)","methods",NA,"RMariaDB, testthat, curl",NA,"GPL-2",NA,NA,NA,NA,"yes","3.5.3"
"robustbase","robustbase","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.93-5",NA,"R (>= 3.1.0)","stats, graphics, utils, methods, DEoptimR",NA,"grid, MASS, lattice, boot, cluster, Matrix, robust,
fit.models, MPV, xtable, ggplot2, GGally, RColorBrewer,
reshape2, sfsmisc, catdata, doParallel, foreach, skewt",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.3"
"ROCR","ROCR","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.0-7",NA,"gplots, methods",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.3"
"RODBC","RODBC","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.3-15",NA,"R (>= 3.0.0)","stats",NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.5.2"
"roxygen2","roxygen2","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","6.1.1",NA,"R (>= 3.1)","brew, commonmark, desc (>= 1.2.0), digest, methods, pkgload
(>= 1.0.2), purrr, R6 (>= 2.1.2), Rcpp (>= 0.11.0), stringi,
stringr (>= 1.0.0), utils, xml2","Rcpp","covr, devtools, knitr, rmarkdown, testthat (>= 0.8.0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.3"
"rpart","rpart","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","4.1-15","recommended","R (>= 2.15.0), graphics, stats, grDevices",NA,NA,"survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.5.3"
"RPostgres","RPostgres","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.1.1",NA,"R (>= 3.1.0)","bit64, blob (>= 1.1.1), DBI (>= 1.0.0), hms, methods, Rcpp (>=
0.11.4.2), withr","BH, plogr (>= 0.2.0), Rcpp","DBItest, testthat",NA,"GPL-2",NA,NA,NA,NA,"yes","3.5.3"
"RPostgreSQL","RPostgreSQL","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.6-2",NA,"R (>= 2.9.0), methods, DBI (>= 0.3)",NA,NA,NA,NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"yes","3.5.3"
"rprojroot","rprojroot","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.3-2",NA,"R (>= 3.0.0)","backports",NA,"testthat, mockr, knitr, withr, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"no","3.5.3"
"rsconnect","rsconnect","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.8.13",NA,"R (>= 3.0.0)","openssl, RCurl, jsonlite, packrat (>= 0.4.8-1), yaml (>=
2.1.5), rstudioapi (>= 0.5)",NA,"knitr, testthat, rmarkdown (>= 1.1), plumber (>= 0.3.2),
reticulate, shiny, sourcetools, xtable",NA,"GPL-2",NA,NA,NA,NA,"no","3.5.3"
"RSQLite","RSQLite","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","2.1.1",NA,"R (>= 3.1.0)","bit64, blob (>= 1.1.1), DBI (>= 1.0.0), memoise, methods,
pkgconfig, Rcpp (>= 0.12.7)","BH, plogr (>= 0.2.0), Rcpp","DBItest, knitr, rmarkdown, testthat",NA,"LGPL (>= 2)",NA,NA,NA,NA,"yes","3.5.3"
"rstudioapi","rstudioapi","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.10",NA,NA,NA,NA,"testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"rticles","rticles","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.9",NA,NA,"utils, rmarkdown, knitr, yaml, tinytex, xfun",NA,"testit, bookdown, xtable",NA,"GPL-3",NA,NA,NA,NA,"no","3.5.3"
"Rttf2pt1","Rttf2pt1","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.3.7",NA,"R (>= 2.15)",NA,NA,NA,NA,"file LICENSE","yes",NA,NA,NA,"yes","3.5.2"
"rtweet","rtweet","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.6.9",NA,"R (>= 3.1.0)","httr (>= 1.3.0), jsonlite (>= 0.9.22), magrittr (>= 1.5.0),
tibble (>= 1.3.4), utils, progress, Rcpp, httpuv","Rcpp","ggplot2, knitr, magick, openssl, readr, rmarkdown, testthat
(>= 2.1.0), webshot, covr, igraph",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.5.3"
"RUnit","RUnit","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.4.32",NA,"R (>= 2.5.0), utils (>= 2.5.0), methods (>= 2.5.0), graphics
(>= 2.5.0)",NA,NA,"XML (>= 3.1.0)",NA,"GPL-2",NA,NA,NA,NA,"no","3.5.2"
"rvest","rvest","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.3.4",NA,"R (>= 3.2), xml2","httr (>= 0.5), magrittr, selectr",NA,"covr, knitr, png, rmarkdown, spelling, stringi (>= 0.3.1),
testthat",NA,"GPL-3",NA,NA,NA,NA,"no","3.5.3"
"sandwich","sandwich","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","2.5-1",NA,"R (>= 2.10.0)","stats, utils, zoo",NA,"AER, car, geepack, lattice, lmtest, MASS, multiwayvcov,
parallel, pcse, plm, pscl, scatterplot3d, stats4, strucchange,
survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","3.5.3"
"satellite","satellite","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.0.1",NA,"R (>= 2.10), raster, methods, utils, stats, grDevices,
graphics","plyr, Rcpp (>= 0.10.3), tools, stats4","Rcpp","devtools, knitr, rgdal, testthat, rmarkdown",NA,"GPL (>= 3) | file LICENSE",NA,NA,NA,NA,"yes","3.5.3"
"scales","scales","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.0.0",NA,"R (>= 3.1)","labeling, munsell (>= 0.5), R6, RColorBrewer, Rcpp,
viridisLite","Rcpp","dichromat, bit64, covr, hms, testthat (>= 2.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.5.3"
"seasonal","seasonal","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.7.0",NA,"R (>= 2.15)","x13binary",NA,"seasonalview (>= 0.1.3)",NA,"GPL-3",NA,NA,NA,NA,"no","3.5.3"
"segmented","segmented","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.0-0",NA,NA,NA,NA,NA,NA,"GPL",NA,NA,NA,NA,"no","3.5.3"
"selectr","selectr","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.4-1",NA,"R (>= 3.0)","methods, stringr, R6",NA,"testthat, XML, xml2",NA,"BSD_3_clause + file LICENCE",NA,NA,NA,NA,"no","3.5.3"
"sessioninfo","sessioninfo","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.1.1",NA,NA,"cli, tools, utils, withr",NA,"callr, covr, mockery, testthat",NA,"GPL-2",NA,NA,NA,NA,"no","3.5.3"
"sf","sf","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.7-6",NA,"methods, R (>= 3.3.0)","classInt (>= 0.2-1), DBI (>= 0.8), graphics, grDevices, grid,
magrittr, Rcpp (>= 0.12.18), stats, tools, units (>= 0.6-0),
utils","Rcpp","blob, covr, dplyr (>= 0.8-0), ggplot2, knitr, lwgeom (>=
0.1-5), maps, maptools, mapview, microbenchmark, odbc, pillar,
pool, raster, rgdal, rgeos, rlang, rmarkdown, RPostgres (>=
1.1.0), RPostgreSQL, RSQLite, sp (>= 1.2-4), spatstat, stars
(>= 0.2-0), testthat, tibble (>= 1.4.1), tidyr (>= 0.7-2),
tidyselect, tmap (>= 2.0)",NA,"GPL-2 | MIT + file LICENSE",NA,NA,NA,NA,"yes","3.5.3"
"sfsmisc","sfsmisc","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.1-4",NA,"R (>= 3.2.0)","grDevices, methods, utils, stats",NA,"datasets, tcltk, cluster, lattice, MASS, Matrix, nlme, lokern","mgcv, rpart, nor1mix, polycor, sm, tikzDevice","GPL (>= 2)",NA,NA,NA,NA,"no","3.5.3"
